Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Total_Floors
23-06-2022,2,10000,500,3,Carpet Area,"Rabindra Pally, Keshtopur",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,4
29-04-2022,4,18000,1200,1,Super Area,Bagbazar,Kolkata,Unfurnished,Family,2,Contact Owner,2
13-06-2022,2,15000,900,1,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent,2
13-06-2022,3,22000,1300,Ground ,Carpet Area,Salt Lake City Sector 2,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent,2
13-06-2022,4,35000,1600,1,Carpet Area,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent,5
14-05-2022,3,21000,1450,Ground ,Super Area,Ajoy Nagar,Kolkata,Unfurnished,Family,2,Contact Owner,1
06-07-2022,2,25000,1100,2,Super Area,"Action Area 1, Rajarhat Newtown",Kolkata,Furnished,Bachelors,2,Contact Agent,2
16-06-2022,2,180000,950,Ground ,Carpet Area,"Avenue S, Santoshpur",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1
06-06-2022,1,6000,600,8,Carpet Area,Pratiraksha Nagar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,5
04-07-2022,2,14000,700,Ground ,Carpet Area,"Kudghat, Ashok Nagar",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,2
15-05-2022,3,8000,750,Ground ,Super Area,"Sakher Bazar, Purba Barisha",Kolkata,Unfurnished,Family,1,Contact Owner,2
04-05-2022,2,8000,1000,Ground ,Super Area,"Purbasan, Thakurpukur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1
25-04-2022,1,6000,220,Ground ,Super Area,"Bidhan Pally, Bansdroni",Kolkata,Furnished,Bachelors/Family,1,Contact Owner,2
21-05-2022,1,8000,300,1,Carpet Area,"Naktala, Garia",Kolkata,Semi-Furnished,Bachelors,1,Contact Agent,3
27-06-2022,1,6000,300,Ground ,Carpet Area,Tiljala Road,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,1
02-07-2022,1,20000,700,1,Super Area,Sankaritola,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,2
06-07-2022,3,12000,800,Ground ,Super Area,"Parnashree Lake, Behala",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1
28-04-2022,3,15000,1600,1,Super Area,Garia,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,3
15-05-2022,2,14000,1000,1,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,3
30-05-2022,1,5000,20,2,Super Area,Dakshineswar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,3
10-06-2022,2,7000,400,Ground ,Carpet Area,chatana,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2
23-06-2022,1,3900,200,2,Super Area,Shyam Bazar,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,2
09-06-2022,3,14000,840,1,Carpet Area,Mukundapur,Kolkata,Unfurnished,Bachelors,2,Contact Owner,4
19-06-2022,1,6300,300,1,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,1
03-07-2022,2,13000,550,1,Carpet Area,Salt Lake City Sector 5,Kolkata,Furnished,Bachelors/Family,2,Contact Agent,2
03-07-2022,1,6800,300,1,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,2
14-05-2022,2,8000,800,1,Super Area,Behala Chowrasta,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1
10-05-2022,2,10000,740,Ground ,Carpet Area,Sonarpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner,6
25-04-2022,2,18000,1300,1,Super Area,Santoshpur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1
13-06-2022,2,8000,650,Ground ,Super Area,"Garia Station, Garia",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1
06-05-2022,2,8000,490,1,Super Area,Entally,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1
08-06-2022,1,4700,250,2,Super Area,Kaikhali,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,2
08-06-2022,1,4700,250,Ground ,Super Area,"Dash Drone, Rajarhat Newtown",Kolkata,Furnished,Bachelors/Family,1,Contact Owner,1
06-05-2022,1,4500,450,1,Super Area,"Rabindra Pally, Keshtopur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2
30-06-2022,1,6000,300,Ground ,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1
24-06-2022,2,16000,750,1,Super Area,"Rajdanga Gardens, Kasba",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,3
01-07-2022,1,4700,250,1,Super Area,Kaikhali,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,2
17-06-2022,2,14000,751,3,Carpet Area,Baghajatin,Kolkata,Unfurnished,Bachelors,1,Contact Owner,3
26-06-2022,2,9000,900,Ground ,Carpet Area,Lake Town,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner,2
23-06-2022,2,5000,400,1,Carpet Area,Keshtopur,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,3
13-06-2022,2,17500,1000,Ground ,Carpet Area,Salt Lake City,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent,2
11-06-2022,2,8500,1000,Ground ,Carpet Area,South Baksara,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1
26-05-2022,3,15000,1500,1,Carpet Area,"Chandannagar, Hooghly-Chinsurah",Kolkata,Semi-Furnished,Family,2,Contact Owner,1
25-04-2022,2,12500,750,1,Carpet Area,"Sukhpally, Haltu",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,3
11-05-2022,1,13000,1200,2,Super Area,Kasba,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,4
06-05-2022,2,8000,700,Ground ,Super Area,"Sakher Bazar, Purba Barisha",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1
10-05-2022,2,8000,700,4,Carpet Area,Garia Dhalua Nabapally,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,4
21-05-2022,2,8000,1000,Ground ,Super Area,"Chinar Park, Rajarhat",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,2
12-06-2022,2,7000,1200,1,Super Area,Konnagar,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,3
05-06-2022,2,2200,550,2,Super Area,Behala silpara,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,3
25-06-2022,2,8000,800,Ground ,Carpet Area,Vip Road,Kolkata,Unfurnished,Bachelors,1,Contact Owner,4
11-06-2022,2,5500,280,1,Super Area,New Barrakpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner,3
04-07-2022,3,20000,1100,Ground ,Super Area,"Thakurpukur, Kolkata",Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner,2
10-05-2022,2,7000,950,Ground ,Super Area,Kaikhali,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,2
13-05-2022,1,3500,250,1,Super Area,"Phool Bagan, Kankurgachi",Kolkata,Furnished,Bachelors/Family,1,Contact Owner,2
10-05-2022,2,5000,1000,Ground ,Carpet Area,Hindmotor,Kolkata,Unfurnished,Bachelors,1,Contact Owner,2
30-06-2022,3,20000,1000,Ground ,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,2
27-05-2022,2,7000,650,Ground ,Super Area,Howrah,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2
08-06-2022,2,10000,700,1,Super Area,Benia Pukur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,2
15-05-2022,2,7000,700,Ground ,Carpet Area,Baguiati,Kolkata,Unfurnished,Bachelors,1,Contact Owner,3
29-06-2022,3,12000,1000,Ground ,Super Area,E M Bypass,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,3
13-05-2022,2,14500,900,1,Carpet Area,"Panchanan Tola, Thakurpukur",Kolkata,Unfurnished,Bachelors,2,Contact Owner,4
25-05-2022,1,6000,700,1,Super Area,"VIP Nagar, E M Bypass",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2
04-07-2022,2,9500,700,1,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,2
27-06-2022,2,10000,450,2,Carpet Area,Behala,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,1
06-05-2022,1,3500,120,Ground ,Super Area,Dum Dum Cantonment,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,3
01-06-2022,2,9000,800,1,Super Area,"New Garia, Garia",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,2
07-06-2022,3,40000,1220,2,Carpet Area,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,3
23-06-2022,3,16500,1100,Ground ,Super Area,Mominpur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,3
12-06-2022,3,8000,700,Ground ,Carpet Area,"Halisahar Station Road, Kanchrapara",Kolkata,Unfurnished,Family,2,Contact Owner,3
10-05-2022,2,12000,800,Ground ,Super Area,Santoshpur,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,3
27-06-2022,2,6500,670,2,Super Area,"Dunlop, Dakshineswar, Belgharia Expressway",Kolkata,Unfurnished,Family,1,Contact Owner,2
30-04-2022,4,40000,1300,1,Super Area,Ballygunge,Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner,2
06-05-2022,1,5000,190,Ground ,Super Area,Baguihati,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,2
24-05-2022,2,9000,700,Ground ,Super Area,Kabardanga,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,2
17-06-2022,1,7000,240,Ground ,Carpet Area,Jadavpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner,4
19-05-2022,2,18000,850,2,Carpet Area,Behala Chowrasta,Kolkata,Semi-Furnished,Family,1,Contact Owner,4
26-05-2022,1,9000,950,1,Super Area,Haltu,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,2
11-06-2022,1,5500,450,1,Carpet Area,Botanical Garden Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,2
08-06-2022,2,7500,800,Ground ,Carpet Area,Bonhooghly,Kolkata,Unfurnished,Bachelors,1,Contact Owner,2
02-07-2022,2,4000,600,1,Carpet Area,Nilgung Old Bazar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2
30-05-2022,3,10500,800,2,Carpet Area,"Teghoria, Baguiati",Kolkata,Unfurnished,Bachelors,2,Contact Owner,2
03-07-2022,3,15000,1100,Ground ,Carpet Area,Survey Park,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,2
16-06-2022,2,15000,800,Ground ,Carpet Area,Baguiati,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,2
13-05-2022,1,50000,2200,2,Super Area,Kanchrapara,Kolkata,Furnished,Bachelors/Family,3,Contact Owner,5
08-06-2022,2,12000,950,1,Carpet Area,"Jote Shibrampur, Joth Shibrampur",Kolkata,Unfurnished,Bachelors,2,Contact Owner,1
25-04-2022,2,11000,550,2,Carpet Area,Ultadanga,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,3
04-06-2022,2,12000,1800,1,Carpet Area,Birati,Kolkata,Unfurnished,Bachelors,2,Contact Owner,1
11-05-2022,2,8000,1000,Ground ,Super Area,"Chinar Park, Rajarhat",Kolkata,Furnished,Bachelors/Family,1,Contact Owner,2
27-05-2022,2,18000,600,Ground ,Super Area,Bagha Jatin Pally,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,3
24-04-2022,2,8000,750,2,Carpet Area,rishi aurobindo sarani neat NIOH hospital,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,4
10-05-2022,2,7000,685,2,Super Area,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,3
24-05-2022,1,6500,44,Ground ,Carpet Area,Baranagar,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,1
10-06-2022,4,13000,1200,Ground ,Carpet Area,Tollygunge,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2
05-05-2022,2,9000,500,Ground ,Carpet Area,Airport Near Gate No. 21/2,Kolkata,Unfurnished,Bachelors,1,Contact Owner,2
29-04-2022,4,10000,1110,2,Carpet Area,Purbasa,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,2
05-05-2022,2,12000,1000,1,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,3
26-06-2022,2,5000,392,Ground ,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2
09-05-2022,2,6000,700,1,Super Area,Barasat-Barrackpore Road,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2
19-05-2022,1,5200,750,2,Super Area,Keshtopur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,4
07-06-2022,3,15000,1500,1,Super Area,"Biren Roy Road (W) Chowrashtra Behala, Raja Rammohan Roy Road",Kolkata,Unfurnished,Family,2,Contact Owner,2
29-04-2022,2,9000,900,Ground ,Super Area,Keshtopur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1
03-07-2022,1,24000,710,1,Super Area,Salt Lake City Sector 1,Kolkata,Furnished,Bachelors,1,Contact Agent,1
26-05-2022,1,5500,400,Ground ,Carpet Area,jadavpur central park east,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,3
24-06-2022,1,10000,700,1,Carpet Area,Garia,Kolkata,Unfurnished,Bachelors,1,Contact Owner,2
03-07-2022,2,15000,1000,Ground ,Carpet Area,Tn Chatterjee Street,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,2
12-06-2022,1,4700,250,1,Super Area,Kaikhali,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,2
14-05-2022,1,5000,500,Ground ,Carpet Area,Bata Nagar,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,3
20-05-2022,2,5000,450,2,Carpet Area,Birati,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,2
27-06-2022,3,15000,1400,1,Super Area,Survey Park,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,3
14-05-2022,1,5000,500,1,Carpet Area,Bata Nagar,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1
17-06-2022,2,6000,700,Ground ,Carpet Area,Hatiara Extention,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1
04-06-2022,3,18000,1200,1,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,3
